Recommended,SuggID,Responses,Views,VoteUp,VoteDown,AuthID,AuthTenure,AuthPosts,AuthPost/Day,AuthScore,Up/Down,Up/Views,Down/Views,UpViewsRank
1,127554,959,44039,2607,88,306610,1280,884,0.7,1,29.625,0.059197529,0.001998229,0
0,128849,60,5520,135,24,306610,1280,884,0.7,1,5.625,0.024456522,0.004347826,0
0,124821,14,279,8,2,306610,1280,884,0.7,1,4,0.028673835,0.007168459,0
0,103038,9,239,1,7,306610,1280,884,0.7,1,0.142857143,0.0041841,0.029288703,0
0,93202,167,6797,432,3,335769,1259,894,0.7,0.972141816,144,0.063557452,0.000441371,0
1,187247,309,3910,145,6,394835,1214,5956,4.9,0.939195271,24.16666667,0.037084399,0.001534527,0
1,148733,61,1097,130,4,394835,1214,5956,4.9,0.939195271,32.5,0.118505014,0.003646308,1
0,156033,81,1566,129,9,394835,1214,5956,4.9,0.939195271,14.33333333,0.082375479,0.005747126,0
0,170615,83,1444,124,5,394835,1214,5956,4.9,0.939195271,24.8,0.085872576,0.003462604,0
0,196789,86,1999,112,11,394835,1214,5956,4.9,0.939195271,10.18181818,0.056028014,0.005502751,0
0,187767,54,923,70,14,394835,1214,5956,4.9,0.939195271,5,0.075839653,0.015167931,0
0,146750,54,1021,67,8,394835,1214,5956,4.9,0.939195271,8.375,0.065621939,0.007835455,0
0,182711,52,744,63,4,394835,1214,5956,4.9,0.939195271,15.75,0.084677419,0.005376344,0
1,192354,66,886,61,1,394835,1214,5956,4.9,0.939195271,61,0.068848758,0.001128668,0
1,171073,64,921,60,2,394835,1214,5956,4.9,0.939195271,30,0.06514658,0.002171553,0
1,171996,55,862,58,2,394835,1214,5956,4.9,0.939195271,29,0.067285383,0.002320186,0
1,168801,36,515,57,2,394835,1214,5956,4.9,0.939195271,28.5,0.110679612,0.003883495,1
0,156972,65,997,57,9,394835,1214,5956,4.9,0.939195271,6.333333333,0.057171515,0.009027081,0
1,194324,25,1443,54,3,394835,1214,5956,4.9,0.939195271,18,0.037422037,0.002079002,0
0,164943,45,956,54,4,394835,1214,5956,4.9,0.939195271,13.5,0.056485356,0.0041841,0
1,195509,39,681,51,4,394835,1214,5956,4.9,0.939195271,12.75,0.074889868,0.005873715,0
1,188786,56,983,50,4,394835,1214,5956,4.9,0.939195271,12.5,0.0508647,0.004069176,0
1,175320,43,1195,50,6,394835,1214,5956,4.9,0.939195271,8.333333333,0.041841004,0.005020921,0
1,219437,56,1531,49,7,394835,1214,5956,4.9,0.939195271,7,0.032005225,0.004572175,0
1,232182,42,2496,48,6,394835,1214,5956,4.9,0.939195271,8,0.019230769,0.002403846,0
0,265648,55,1485,47,2,394835,1214,5956,4.9,0.939195271,23.5,0.031649832,0.001346801,0
