Recommended,Suggestion_Id,Responses,Views,Votes_Up,Votes_Down,Author_Id,Author_Join (in terms of how many days since they joined),Author_TotalPosts,Author_PostsPerDay
0,35463,77,3849,242,7,4886,1615,8977,5.6
0,37480,428,28290,1149,201,3654,1617,2543,1.6
0,39814,160,7561,648,45,113401,1385,1003,0.7
0,41970,89,9937,197,14,8331,1601,223,0.1
1,47967,12,6977,0,0,13980,1593,3978,2.5
1,50219,62,1608,121,13,144806,1373,66,0
1,50778,11,12447,0,0,3654,1617,2543,1.6
0,51464,0,0,130,11,158797,1366,52,0
0,52486,169,7259,241,30,107953,1387,508,0.4
0,52857,0,0,479,8,1270,1619,425,0.3
1,53903,7,6228,0,0,3654,1617,2543,1.6
0,54697,135,19987,236,11,251107,1318,215,0.2
1,57437,6,8193,0,0,1764,1619,1661,1
0,58522,259,22332,580,102,61075,1549,2922,1.9
0,58892,0,0,48,3,194538,1347,1190,0.9
0,58921,0,0,59,8,4886,1615,8977,5.6
0,60164,187,12159,344,93,1115,1620,6334,3.9
0,60294,0,0,124,4,4886,1615,8977,5.6
1,61634,21,23722,0,0,113401,1385,1003,0.7
0,63200,77,8945,182,27,68398,1544,493,0.3
0,63372,0,0,71,17,267107,1309,1078,0.8
0,63554,0,0,54,6,155751,1368,313,0.2
1,63685,0,0,429,38,21274,1577,4619,2.9
0,63898,0,0,454,20,57704,1551,881,0.6
0,64462,0,0,9,32,304781,1281,1096,0.9
0,64472,0,0,45,53,304781,1281,1096,0.9
0,64781,0,0,20,28,239183,1324,1352,1
0,65148,166,15303,688,45,42127,1559,65,0
0,65148,0,0,688,45,42127,1559,65,0
0,65148,0,0,688,45,42127,1559,65,0
0,65519,0,0,2,2,208196,1340,280,0.2
0,65834,0,0,1,5,219912,1333,29,0
1,66165,0,0,0,0,1385,1619,2278,1.4
0,66666,25,443,10,0,12488,1595,5803,3.6
0,68430,159,11492,566,68,239183,1324,1352,1
1,68482,177,4966,413,26,122830,1381,3681,2.7
0,73521,191,6685,415,77,107282,1387,248,0.2
0,73565,38,529,59,5,149295,1371,1363,1
0,73913,66,3475,104,11,256199,1315,2377,1.8
0,74258,148,3639,419,37,185566,1352,1975,1.5
0,75198,140,5844,296,13,7641,1606,656,0.4
0,76187,0,0,154,8,272095,1306,356,0.3
1,77229,20,26747,0,0,13980,1593,3978,2.5
1,77427,79,36547,0,0,134965,1376,1289,0.9
0,77704,141,4285,354,11,313212,1275,430,0.3
0,79147,110,4730,183,84,279368,1301,856,0.7
0,79940,228,18433,766,104,11310,1596,553,0.3
0,81949,0,0,13,2,337882,1258,2378,1.9
0,82163,42,1014,64,7,149051,1371,73,0.1
0,83397,0,0,39,4,76503,1538,261,0.2
0,83587,0,0,2,7,239976,1323,12,0
0,84517,92,3476,166,43,122830,1381,3681,2.7
1,84726,114,3072,251,6,15049,1590,1041,0.7
0,85117,0,0,5,22,21315,1577,559,0.4
0,85376,242,19832,560,65,115779,1384,1442,1
0,85385,52,4804,54,16,1826,1619,977,0.6
0,85404,119,4221,98,44,15049,1590,1041,0.7
1,85772,28,3074,150,4,128016,1379,1712,1.2
0,86669,64,2224,117,5,107282,1387,248,0.2
0,87355,75,1926,76,20,193738,1348,300,0.2
1,87420,184,4287,324,16,220071,1333,830,0.6
1,87499,136,4058,257,39,15049,1590,1041,0.7
0,88534,162,4585,361,4,377771,1226,3467,2.8
0,88752,250,6717,485,33,377771,1226,3467,2.8
1,88817,103,3620,162,56,122830,1381,3681,2.7
0,89058,0,0,3,18,30181,1566,331,0.2
0,89116,120,2898,115,46,122830,1381,3681,2.7
0,90881,0,0,1,21,219865,1333,258,0.2
0,91214,151,10060,275,149,187919,1350,6855,5.1
1,91379,7,13091,0,0,1784,1619,2211,1.4
0,91591,189,7135,323,7,149295,1371,1363,1
0,92444,0,0,9,0,141898,1374,383,0.3
0,93157,253,8983,258,122,189139,1350,733,0.5
0,93202,167,6797,432,3,335769,1259,894,0.7
1,95610,217,11582,255,32,365965,1237,5191,4.2
0,96085,57,1234,31,17,426127,1197,530,0.4
0,96115,60,2020,127,3,279368,1301,856,0.7
0,96412,71,2166,50,24,115913,1384,594,0.4
1,96446,80,8704,155,21,42794,1559,267,0.2
0,96894,45,821,36,3,200672,1344,473,0.4
0,97313,258,18916,860,74,215565,1336,1312,1
0,97505,112,1734,57,32,365965,1237,5191,4.2
0,97620,244,6921,473,12,365965,1237,5191,4.2
0,98262,24,916,45,11,78487,1536,19,0
0,98276,169,8143,290,94,215565,1336,1312,1
1,98532,102,26572,76,12,365965,1237,5191,4.2
0,100299,76,2115,67,15,346232,1252,830,0.7
0,100435,34,916,55,2,91990,1514,744,0.5
0,100452,18,262,17,2,451689,1182,2744,2.3
0,101250,59,1998,37,16,1184,1620,1594,1
0,101526,78,4880,158,88,243844,1322,238,0.2
0,101788,58,3198,89,32,11310,1596,553,0.3
0,102550,21,331,1,13,160131,1366,32,0
0,102658,139,4856,184,22,196329,1346,188,0.1
0,102863,5,122,0,0,121037,1382,60,0
0,102909,6,118,3,0,103140,1481,1445,1
0,103034,159,9190,342,49,492320,1126,50,0
0,103038,9,239,1,7,306610,1280,884,0.7
0,103185,3,51,0,0,381253,1223,451,0.4
0,103204,2,82,1,0,488756,1130,65,0.1
0,103218,19,300,14,4,131778,1378,2248,1.6
0,103231,2,193,2,0,303241,1282,102,0.1
0,103252,1,45,0,0,484317,1148,509,0.4
0,103270,42,1194,45,8,292922,1291,697,0.5
0,103283,20,262,1,9,303241,1282,102,0.1
0,103291,1,106,0,0,397206,1213,43,0
0,103308,1,163,0,0,218346,1334,1159,0.9
0,103311,5,80,0,0,291346,1292,154,0.1
0,103341,12,309,8,2,301903,1283,381,0.3
1,103379,79,2187,85,15,107505,1387,143,0.1
0,103416,19,410,0,11,488756,1130,65,0.1
0,103659,16,428,3,11,156076,1368,410,0.3
0,103709,94,2889,170,23,301903,1283,381,0.3
0,103848,182,5143,373,20,377771,1226,3467,2.8
0,103867,17,348,5,10,243424,1322,318,0.2
0,103990,1,88,0,0,483946,1149,858,0.7
0,104045,9,402,4,9,189139,1350,733,0.5
0,104053,1,37,0,0,4940,1615,9,0
0,104109,2,68,0,0,420946,1200,78,0.1
0,104129,4,120,0,0,286635,1295,50,0
0,104143,3,92,0,0,252191,1317,549,0.4
0,104148,1,60,0,0,286635,1295,50,0
0,104155,6,125,0,0,440565,1190,168,0.1
0,104219,2,72,1,0,495691,1120,9,0
0,104230,1,69,0,0,119617,1383,1212,0.9
0,104241,5,112,2,2,461555,1176,223,0.2
0,104278,2,71,3,0,291346,1292,154,0.1
0,104301,19,272,4,13,440565,1190,168,0.1
0,104374,8,144,0,0,490971,1127,6,0
0,104391,1,85,0,0,496133,1119,1,0
0,104436,1,82,0,0,54629,1553,318,0.2
0,104457,5,106,0,0,13020,1594,93,0.1
0,104459,96,2291,171,3,87211,1527,338,0.2
0,104470,15,355,2,16,77598,1537,2134,1.4
0,104476,0,63,0,0,21074,1578,73,0
0,104490,12,168,14,0,159775,1366,90,0.1
0,104545,3,55,0,0,320954,1270,104,0.1
0,104597,15,421,1,15,243424,1322,318,0.2
0,104606,18,314,1,7,320954,1270,104,0.1
0,104624,12,402,1,8,243424,1322,318,0.2
0,104639,2,111,0,0,493084,1124,7,0
0,104653,8,234,0,0,496796,1118,4,0
0,104674,17,352,0,14,495538,1120,164,0.1
0,104698,0,34,0,0,54629,1553,318,0.2
0,104699,1,69,1,0,54629,1553,318,0.2
0,104704,7,171,1,4,246196,1320,1792,1.4
0,104712,14,360,3,13,77598,1537,2134,1.4
0,104866,4,81,1,1,111753,1386,1947,1.4
0,104879,2,93,0,0,495097,1121,925,0.8
0,104908,78,2666,91,14,386130,1219,452,0.4
0,104968,3,67,0,0,490079,1129,62,0.1
0,104977,0,9,0,0,189139,1350,733,0.5
0,105083,20,616,14,2,125773,1380,360,0.3
0,105129,7,120,1,0,495538,1120,164,0.1
0,105132,17,187,0,16,495538,1120,164,0.1
0,105135,2,44,2,0,490079,1129,62,0.1
0,105143,2,41,0,0,155057,1368,178,0.1
0,105156,2,31,0,0,38287,1562,333,0.2
0,105198,102,1816,146,11,495865,1120,59,0.1
0,105224,6,127,1,1,474594,1166,117,0.1
0,105239,0,15,0,0,1617,1619,372,0.2
0,105249,10,121,10,0,122830,1381,3681,2.7
0,105262,46,1366,39,13,1617,1619,372,0.2
0,105269,40,915,24,20,301903,1283,381,0.3
0,105271,57,1452,72,9,301903,1283,381,0.3
0,105313,47,1016,25,38,301903,1283,381,0.3
0,105384,5,156,0,3,207412,1340,217,0.2
0,105405,1,42,0,0,354462,1246,25,0
0,105442,11,154,1,9,72653,1541,491,0.3
0,105454,4,63,0,0,254120,1316,48,0
0,105484,1,62,0,0,318907,1272,185,0.1
0,105533,112,1938,115,10,4886,1615,8977,5.6
0,105603,3,84,0,0,425918,1198,1,0
0,105704,15,241,2,10,484214,1148,226,0.2
0,105706,3,157,0,1,325547,1267,49,0
0,105708,14,238,1,12,484214,1148,226,0.2
0,105715,2,233,1,1,495538,1120,164,0.1
0,105761,1,151,0,0,483950,1149,50,0
0,105786,3,135,0,0,391386,1216,129,0.1
0,105787,0,85,0,0,189383,1350,926,0.7
0,105788,1,57,0,0,189383,1350,926,0.7
0,105789,0,56,0,0,189383,1350,926,0.7
0,105846,214,6616,628,23,64536,1546,137,0.1
0,105874,1,53,0,0,263829,1311,52,0
0,105981,5,321,0,0,440449,1190,3360,2.8
0,106088,3,45,0,0,3305,1618,44,0
0,106189,4,54,0,0,9940,1599,10,0
0,106196,15,319,5,8,270602,1307,93,0.1
0,106237,50,2350,75,10,2556,1619,6084,3.8
0,106255,18,267,3,9,160064,1366,962,0.7
0,106314,4,148,2,0,484214,1148,226,0.2
0,106347,1,60,0,0,500915,1111,3,0
0,106349,1,33,0,0,181255,1354,24,0
0,106367,45,1206,28,8,3215,1618,840,0.5
0,106492,31,1230,32,15,127709,1379,12,0
0,106494,44,524,54,0,101051,1489,300,0.2
0,106498,3,48,0,0,3265,1618,526,0.3
0,106536,12,226,8,0,482873,1151,260,0.2
0,106540,1,71,0,0,482873,1151,260,0.2
0,106542,16,309,0,16,482873,1151,260,0.2
0,106565,3,101,0,0,39229,1561,12,0
0,106611,13,253,4,7,180787,1355,4,0
0,106633,19,452,0,17,487615,1142,523,0.5
0,106666,0,11,0,0,7641,1606,656,0.4
0,106667,0,40,0,0,7641,1606,656,0.4
0,106731,205,5880,179,15,498246,1116,176,0.2
0,106737,19,459,2,12,189383,1350,926,0.7
0,106769,3,146,1,1,455243,1180,34,0
0,106783,22,392,4,14,484214,1148,226,0.2
0,106785,20,260,1,16,484214,1148,226,0.2
0,106830,9,228,5,8,210016,1339,211,0.2
0,106855,0,28,0,0,127836,1379,264,0.2
0,107134,2,69,0,0,76578,1538,25,0
1,107142,37,552,42,0,189383,1350,926,0.7
0,107208,1,60,1,0,256813,1315,9,0
0,107270,6,129,0,0,10732,1597,328,0.2
0,107284,3,118,0,0,360849,1241,26,0
0,107301,17,344,3,5,21274,1577,4619,2.9
0,107332,12,170,0,9,495538,1120,164,0.1
0,107343,219,10079,485,84,480779,1155,3502,3
0,107359,4,44,0,0,250737,1318,112,0.1
1,107362,82,3554,115,5,365965,1237,5191,4.2
0,107373,1,38,0,0,101548,1486,19,0
0,107398,92,2556,119,22,189139,1350,733,0.5
0,107399,37,1697,63,5,64536,1546,137,0.1
0,107406,5,270,4,1,498321,1116,9992,9
0,107432,25,464,15,3,455243,1180,34,0
0,107523,2,71,0,0,384606,1220,59,0
0,107669,1,45,0,0,6992,1609,1,0
0,107670,20,288,8,12,482873,1151,260,0.2
0,107789,16,176,3,13,484214,1148,226,0.2
0,107837,1,71,0,0,366570,1236,298,0.2
0,107983,4,66,0,0,251300,1318,11,0
0,108009,2,39,0,0,231588,1327,4,0
0,108022,0,63,0,0,220071,1333,830,0.6
0,108036,6,63,0,0,455243,1180,34,0
0,108182,8,144,3,4,375288,1228,346,0.3
0,108216,1,22,0,0,163428,1364,121,0.1
0,108232,1,34,0,0,128940,1379,56,0
0,108243,1,33,0,0,28076,1567,58,0
0,108244,0,8,0,0,28076,1567,58,0
0,108299,32,586,6,31,394739,1214,356,0.3
0,108343,5,100,0,0,96959,1502,19,0
0,108352,9,138,5,3,150709,1370,1220,0.9
0,108385,143,4443,335,25,258379,1314,418,0.3
0,108413,0,20,0,0,21074,1578,73,0
0,108415,70,1774,130,1,21074,1578,73,0
0,108429,17,729,19,7,196076,1346,862,0.6
0,108460,47,924,102,3,88184,1525,328,0.2
0,108487,18,307,6,9,320954,1270,104,0.1
0,108563,45,624,60,1,455765,1179,2416,2.1
0,108590,50,1492,26,11,365965,1237,5191,4.2
0,108614,36,675,32,6,346337,1252,1201,1
1,108670,57,1390,94,4,385923,1219,450,0.4
0,108675,8,118,5,0,189383,1350,926,0.7
